iter	Passed	Remaining
0	47	4733
1	57	2831
2	67	2181
3	78	1883
4	89	1701
5	97	1531
6	111	1483
7	118	1366
8	133	1347
9	139	1258
10	149	1208
11	163	1199
12	175	1171
13	184	1132
14	192	1089
15	198	1043
16	206	1008
17	213	974
18	232	991
19	239	957
20	246	926
21	274	972
22	281	941
23	288	912
24	301	904
25	308	877
26	315	852
27	325	836
28	332	812
29	340	793
30	363	808
31	373	793
32	385	783
33	403	783
34	411	763
35	425	757
36	432	736
37	440	718
38	451	705
39	458	687
40	468	673
41	475	656
42	482	639
43	489	622
44	540	660
45	584	685
46	593	669
47	607	658
48	630	656
49	637	637
50	653	627
51	660	609
52	668	593
53	675	575
54	682	558
55	696	547
56	702	530
57	712	515
58	719	499
59	725	483
60	732	468
61	750	459
62	761	447
63	769	433
64	778	419
65	801	412
66	818	403
67	826	389
68	839	377
69	847	363
70	854	349
71	863	335
72	870	321
73	877	308
74	892	297
75	898	283
76	913	272
77	920	259
78	927	246
79	942	235
80	949	222
81	959	210
82	965	197
83	972	185
84	981	173
85	988	160
86	995	148
87	1014	138
88	1021	126
89	1056	117
90	1072	106
91	1086	94
92	1094	82
93	1105	70
94	1111	58
95	1118	46
96	1133	35
97	1140	23
98	1149	11
99	1157	0
